repositoryGitHubSlug,npmPackageName,patchedVersion,patchedVersionReleaseDate
xtermjs/xterm.js,xterm,3.9.2,2019-01-08T16:19:30.382Z
jshttp/negotiator,negotiator,0.6.1,2016-05-03T04:47:29.814Z
coolaj86/node-jquery,jquery,3.4.0,2019-04-10T19:53:06.430Z
typeorm/typeorm,typeorm,0.2.25,2020-05-19T17:02:28.610Z
olado/doT,dot,1.1.3,2019-12-07T16:50:13.244Z
i18next/i18next,i18next,1.10.3,2015-07-17T07:39:55.611Z
brockpetrie/vue-moment,vue-moment,4.1.0,2019-12-22T11:33:12.026Z
Automattic/mongoose,mongoose,3.8.39,2016-01-15T19:35:45.963Z
isaacs/st,st,1.2.2,2017-10-13T05:08:24.873Z
MrRio/jsPDF,jspdf,2.0.0,2020-08-11T08:55:33.515Z
frenchbread/private-ip,private-ip,2.0.0,2020-11-23T12:29:23.303Z
nhn/tui.editor,@toast-ui/editor,2.2.0,2020-06-16T07:02:45.815Z
googleapis/google-api-nodejs-client,googleapis,39.1.0,2019-03-28T23:51:44.305Z
snapappointments/bootstrap-select,bootstrap-select,1.13.6,2019-03-09T02:09:07.600Z
react-native-webview/react-native-webview,react-native-webview,11.0.0,2020-11-24T17:20:30.773Z
jonschlinkert/defaults-deep,defaults-deep,0.2.4,2018-02-07T16:53:09.582Z
vercel/next.js,next,7.0.2,2018-10-11T15:21:16.077Z
broofa/node-uuid,node-uuid,1.4.4,2015-11-12T01:29:51.514Z
infor-design/enterprise,ids-enterprise,4.18.2,2019-06-10T16:06:39.269Z
Atinux/schema-inspector,schema-inspector,1.6.9,2020-01-20T15:08:35.020Z
openpgpjs/openpgpjs,openpgp,4.2.0,2018-11-05T13:15:06.429Z
jwadhams/json-logic-js,json-logic-js,2.0.0,2020-11-09T20:29:08.670Z
TooTallNate/node-https-proxy-agent,https-proxy-agent,2.2.0,2018-03-03T19:34:45.914Z
janl/mustache.js,mustache,2.2.1,2015-12-13T11:06:56.462Z
twbs/bootstrap,bootstrap,4.1.2,2018-07-12T16:38:44.910Z
friedrith/node-wifi,node-wifi,2.0.12,2019-09-06T12:44:44.250Z
Dexus/pem,pem,1.13.2,2018-10-26T21:26:54.079Z
semantic-release/semantic-release,semantic-release,17.2.3,2020-11-16T21:34:28.093Z
markedjs/marked,marked,0.3.3,2015-01-25T23:54:47.041Z
mholt/PapaParse,papaparse,5.2.0,2020-04-02T13:16:39.074Z
kellyselden/git-diff-apply,git-diff-apply,0.22.2,2020-01-06T12:25:15.567Z
PrismJS/prism,prismjs,1.23.0,2020-12-31T18:46:58.434Z
axios/axios,axios,0.18.1,2019-06-01T00:46:36.277Z
tsedio/tsed,@tsed/core,5.65.7,2020-10-18T06:51:17.335Z
npm/fstream,fstream,1.0.12,2019-05-15T00:38:18.821Z
aerospike/aerospike-client-nodejs,aerospike,2.4.2,2016-11-10T09:53:49.194Z
fomantic/Fomantic-UI,fomantic-ui,2.7.0,2018-12-21T19:49:35.608Z
eggjs/egg-scripts,egg-scripts,2.8.1,2018-08-19T04:41:03.102Z
mozilla/nunjucks,nunjucks,2.4.3,2016-09-07T16:39:10.319Z
Automattic/node-canvas,canvas,1.6.11,2018-05-15T11:46:25.979Z
jquery/jquery-ui,jquery-ui,1.12.0,2016-07-08T17:14:57.015Z
vercel/ms,ms,0.7.1,2015-04-20T23:38:57.957Z
npm/npm-user-validate,npm-user-validate,1.0.1,2020-10-15T22:46:45.322Z
mqttjs/mqtt-packet,mqtt-packet,5.6.1,2019-04-17T22:57:17.749Z
ipfs/npm-go-ipfs-dep,go-ipfs-dep,0.4.4,2016-10-29T04:55:25.467Z
diegohaz/bodymen,bodymen,1.1.1,2020-02-16T22:19:20.644Z
maxogden/concat-stream,concat-stream,1.3.2,2018-03-01T13:15:54.637Z
peerigon/angular-expressions,angular-expressions,1.0.1,2020-01-23T08:23:31.556Z
mpetroff/pannellum,pannellum,2.5.5,2019-11-22T01:43:11.209Z
auth0/node-jsonwebtoken,jsonwebtoken,4.2.2,2015-03-26T19:45:09.289Z
apostrophecms/sanitize-html,sanitize-html,1.11.4,2016-03-28T15:09:42.779Z
fb55/css-what,css-what,2.1.3,2019-02-14T18:23:18.507Z
brendanashworth/generate-password,generate-password,1.4.1,2018-10-28T17:51:00.573Z
tschaub/grunt-gh-pages,grunt-gh-pages,0.10.0,2015-02-14T16:24:51.007Z
ankane/chartkick.js,chartkick,3.2.0,2019-11-10T00:14:38.771Z
bower/decompress-zip,decompress-zip,0.3.2,2019-01-17T09:44:42.486Z
auth0/lock,auth0-lock,11.21.0,2020-01-30T20:31:54.960Z
strongloop/loopback-connector-mongodb,loopback-connector-mongodb,3.6.0,2018-08-15T15:42:26.938Z
visionmedia/debug,debug,3.1.0,2017-09-26T19:13:51.492Z
segmentio/is-url,is-url,1.2.3,2018-03-20T23:21:51.786Z
hapijs/cryptiles,cryptiles,4.1.2,2018-06-24T04:06:32.375Z
tj/node-growl,growl,1.10.0,2017-07-14T02:30:51.124Z
GoogleChrome/chrome-launcher,chrome-launcher,0.13.2,2020-05-07T18:59:29.284Z
npm/npmconf,npmconf,2.1.3,2018-05-11T22:00:50.786Z
juliushaertl/nextcloud-vue-collections,nextcloud-vue-collections,0.4.2,2019-12-17T09:41:58.150Z
blueimp/jQuery-File-Upload,blueimp-file-upload,9.22.1,2018-10-13T14:30:19.581Z
ibmdb/node-ibm_db,ibm_db,2.6.0,2019-08-19T13:53:08.590Z
dreamerslab/node.extend,node.extend,1.1.7,2018-10-31T00:29:42.739Z
sebhildebrandt/systeminformation,systeminformation,4.26.2,2020-05-19T18:05:31.432Z
coderaiser/cloudcmd,cloudcmd,9.1.6,2018-04-23T14:23:19.136Z
exceljs/exceljs,exceljs,1.6.0,2018-08-02T08:37:37.406Z
ethanent/centra,centra,2.4.0,2019-08-20T01:34:28.827Z
hakimel/reveal.js,reveal.js,3.9.2,2020-01-31T10:14:31.964Z
hinesboy/mavonEditor,mavon-editor,2.8.2,2020-04-05T08:54:25.137Z
jonschlinkert/merge-deep,merge-deep,3.0.1,2018-02-07T16:44:13.060Z
erming/shout,shout,0.50.0,2015-01-22T17:54:02.785Z
microlinkhq/metascraper,metascraper,5.2.0,2019-05-05T14:46:31.756Z
josdejong/mathjs,mathjs,3.17.0,2017-11-18T19:42:48.198Z
actions/toolkit,@actions/core,1.2.6,2020-09-23T16:36:12.398Z
pillys/fs-path,fs-path,0.0.25,2020-10-07T01:48:37.941Z
fastify/fastify,fastify,2.15.1,2020-06-29T12:47:39.063Z
rails/jquery-ujs,jquery-ujs,1.0.4,2015-06-22T09:16:28.955Z
apostrophecms/apostrophe,apostrophe,2.92.0,2019-06-26T18:54:31.905Z
rvagg/bl,bl,1.0.1,2016-01-19T05:32:39.741Z
cure53/DOMPurify,dompurify,2.0.7,2019-10-21T10:02:04.289Z
jshttp/forwarded,forwarded,0.1.2,2017-09-15T02:17:54.232Z
remoteinterview/zero,zero,1.0.6,2019-02-26T17:29:59.246Z
acstll/deep-get-set,deep-get-set,1.1.1,2020-11-01T12:03:20.838Z
sveltejs/sapper,sapper,0.27.11,2020-03-20T12:04:17.286Z
davewasmer/devcert,devcert,1.1.2,2020-07-07T23:33:38.849Z
moment/moment,moment,2.11.2,2016-02-03T22:47:57.749Z
google/closure-library,google-closure-library,20200315.0.0,2020-03-24T02:58:28.226Z
telerik/kendo-angular-editor,@progress/kendo-angular-editor,1.2.3,2020-07-31T06:17:12.147Z
webpack/webpack-dev-server,webpack-dev-server,3.1.11,2018-12-21T18:00:37.787Z
autovance/ftp-srv,ftp-srv,4.4.0,2020-12-16T23:00:01.901Z
barretts/node-iedriver,iedriver,3.0.0,2016-11-11T20:41:46.367Z
aheckmann/mquery,mquery,3.2.3,2020-12-10T20:25:55.598Z
guybedford/devcert,devcert-sanscache,0.4.7,2020-01-08T01:37:05.648Z
khrome/ascii-art,ascii-art,1.4.4,2018-09-05T14:53:12.793Z
jhuckaby/pixl-class,pixl-class,1.0.3,2020-03-11T03:16:28.678Z
bower/bower,bower,1.8.8,2019-01-23T21:25:45.510Z
lukeed/klona,klona,1.1.1,2020-01-16T04:24:46.863Z
digitalbazaar/forge,node-forge,0.10.0,2020-09-02T02:06:56.960Z
soyuka/pidusage,pidusage,1.1.5,2017-05-31T06:18:07.981Z
airbrake/node-airbrake,airbrake,0.4.0,2016-02-23T10:53:39.534Z
vega/vega,vega-util,1.13.1,2020-03-06T11:29:47.523Z
npm/npm-registry-fetch,npm-registry-fetch,4.0.5,2020-06-30T18:35:07.669Z
aws/aws-sdk-js,aws-sdk,2.814.0,2020-12-18T19:20:31.872Z
sequelize/sequelize,sequelize,4.44.3,2019-08-18T12:57:29.484Z
