repositoryGitHubSlug,npmPackageName,versionOfInterest,versionOfInterestReleaseDate
react-dropzone/file-selector,file-selector,0.1.12,2019-05-14
dotintegral/bishop-js,bishop-js,0.1.6,2015-11-11
PeculiarVentures/pvutils,pvutils,1.0.7,2017-02-27
chaijs/chai,chai,4.2.0,2018-09-26
mozilla/nunjucks,nunjucks,3.0.1,2017-05-24
